revistas,scielo_url,publicador,status
"Maskay","http://scielo.senescyt.gob.ec/scielo.php?script=sci_serial&pid=1390-6712&lng=en","Universidad de las Fuerzas Armadas","current"
"Matéria (Rio de Janeiro)","http://www.scielo.br/scielo.php?script=sci_serial&pid=1517-7076&lng=en","Rede Latino-Americana de Materiais","current"
"Materials Research","http://www.scielo.br/scielo.php?script=sci_serial&pid=1516-1439&lng=en","ABM, ABC, ABPol","current"
"Nova scientia","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-0705&lng=en","Universidad de La Salle Bajío A. C., Coordinación de Investigación","current"
"Nucleus","http://scielo.sld.cu/scielo.php?script=sci_serial&pid=0864-084X&lng=en","CUBAENERGIA","current"
"Obras y proyectos","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-2813&lng=en","Universidad Católica de la Santísima Concepción","current"
"Papers in physics","http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-4249&lng=en","Paper in Physics.","current"
"Pesquisa Operacional","http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-7438&lng=en","Sociedade Brasileira de Pesquisa Operacional","current"
"Polibits","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-9044&lng=en","Instituto Politécnico Nacional, Centro de Innovación y Desarrollo Tecnológico en Cómputo","suspended"
"Polímeros","http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-1428&lng=en","Associação Brasileira de Polímeros","current"
"Producción + Limpia","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1909-0455&lng=en","Corporación Universitaria Lasallista","current"
"Production","http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-6513&lng=en","Associação Brasileira de Engenharia de Produção","current"
"R&D Journal","http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2309-8988&lng=en","South African Institution of Mechanical Engineering","current"
"RBRH","http://www.scielo.br/scielo.php?script=sci_serial&pid=2318-0331&lng=en","Associação Brasileira de Recursos Hídricos","current"
"REM - International Engineering Journal","http://www.scielo.br/scielo.php?script=sci_serial&pid=2448-167X&lng=en","Fundação Gorceix","current"
"Rem: Revista Escola de Minas","http://www.scielo.br/scielo.php?script=sci_serial&pid=0370-4467&lng=en","Escola de Minas","deceased"
"Research on Biomedical Engineering","http://www.scielo.br/scielo.php?script=sci_serial&pid=2446-4740&lng=en","Sociedade Brasileira de Engenharia Biomédica","current"
"Revista ALCONPAT","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-6835&lng=en","Asociación Latinoamericana de Control de Calidad, Patología y Recuperación de la Construcción, A. C.","current"
"Revista Ambiente & Água","http://www.scielo.br/scielo.php?script=sci_serial&pid=1980-993X&lng=en","Instituto de Pesquisas Ambientais em Bacias Hidrográficas","current"
"Revista Brasileira de Engenharia Biomédica","http://www.scielo.br/scielo.php?script=sci_serial&pid=1517-3151&lng=en","SBEB - Sociedade Brasileira de Engenharia Biomédica","deceased"
"Revista Científica","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-2259&lng=en","UNIVERSIDAD DEL ZULIA","suspended"
"Revista Colombiana de Biotecnología","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-3475&lng=en","Instituto de Biotecnología, Universidad Nacional de Colombia","current"
"Revista Cubana de Ciencias Informáticas","http://scielo.sld.cu/scielo.php?script=sci_serial&pid=2227-1899&lng=en","Editorial Ediciones Futuro","current"
"Revista de Ciencia y Tecnología","http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-7587&lng=en","Centro de Investigación y Desarrollo Tecnológico, Facultad de Ciencias Exactas, Química y Naturales, Universidad Nacional de Misiones","current"
"Revista de Ingeniería","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-4993&lng=en","Universidad de los Andes.","suspended"
"Revista de la construcción","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-915X&lng=en","Escuela de Construcción Civil, Pontificia Universidad Católica de Chile","current"
"Revista de la Facultad de Ingeniería Universidad Central de Venezuela","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-4065&lng=en","Universidad Central de Venezuela","current"
"Revista del Instituto Nacional de Higiene Rafael Rangel","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-0477&lng=en","Instituto Nacional de Higiene Rafael Rangel","current"
"Revista EIA","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1794-1237&lng=en","Escuela de ingenieria de Antioquia","current"
"Revista Facultad de Ingeniería - Universidad de Tarapacá","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-1337&lng=en","Universidad de Tarapacá. Facultad de Ingeniería","deceased"
"Revista Facultad de Ingeniería Universidad de Antioquia","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-6230&lng=en","Facultad de Ingeniería, Universidad de Antioquia","current"
"Revista IBRACON de Estruturas e Materiais","http://www.scielo.br/scielo.php?script=sci_serial&pid=1983-4195&lng=en","IBRACON - Instituto Brasileiro do Concreto","current"
"Revista Ingeniería Biomédica","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1909-9762&lng=en","Fondo Editorial EIA, Escuela de Ingeniería de Antioquia EIA-, Universidad CES","current"
"Revista ingeniería de construcción","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-5073&lng=en","Pontificia Universidad Católica de Chile. Departamento de Ingeniería y Gestión de la Construcción","current"
"Revista Ingenierías Universidad de Medellín","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1692-3324&lng=en","Universidad de Medellín","current"
"Revista ION","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-100X&lng=en","Universidad Industrial de Santander","current"
"Revista Lasallista de Investigación","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1794-4449&lng=en","Corporación Universitaria Lasallista","current"
"Revista Latinoamericana de Metalurgia y Materiales","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0255-6952&lng=en","Universidad Simón Bolívar","current"
"Revista mexicana de fitopatología","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-3309&lng=en","Sociedad Mexicana de Fitopatología A.C.","current"
"Revista mexicana de ingeniería biomédica","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0188-9532&lng=en","Sociedad Mexicana de Ingeniería Biomédica","current"
"Revista mexicana de ingeniería química","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-2738&lng=en","UAM, Unidad Iztapalapa, División de Ciencias Básicas e Ingeniería","suspended"
"Revista Politécnica","http://scielo.senescyt.gob.ec/scielo.php?script=sci_serial&pid=1390-0129&lng=en","Escuela Politécnica Nacional","current"
"Revista Técnica de la Facultad de Ingeniería Universidad del Zulia","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0254-0770&lng=en","Facultad de Ingeniería, Universidad del Zulia","current"
